id,date_submitted,street,ward,district,city,detailed_address,area(m2),price(milion_vnd),hot_and_cold_water_machine,washing_machine,fridge,camera,fingerprint_door_lock/magnetic_card,parking,air_conditioner,balcony
21823331,17/03/2023,Đường Cách Mạng Tháng 8, Phường 11, Quận 3, TPHCM,"Đường Cách Mạng Tháng 8, Phường 11, Quận 3, TPHCM",18,2.7,1,1,0,0,0,0,1,0
22015945,17/03/2023,Đường Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, TPHCM,"Đường Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, TPHCM",12,2,0,1,1,0,0,0,0,0
22041403,17/03/2023,Đường Cống Lở, Phường 15, Quận Tân Bình, TPHCM,"Đường Cống Lở, Phường 15, Quận Tân Bình, TPHCM",25,2.7,0,1,0,0,0,0,0,0
22050586,17/03/2023,Đường số 59, Phường 14, Quận Gò Vấp, TPHCM,"Đường số 59, Phường 14, Quận Gò Vấp, TPHCM",35,4.6,0,1,1,0,0,0,1,1
22050575,17/03/2023,Đường số 59, Phường 14, Quận Gò Vấp, TPHCM,"Đường số 59, Phường 14, Quận Gò Vấp, TPHCM",50,5,1,1,1,1,1,1,1,0
21991190,17/03/2023,Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, TPHCM,"Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, TPHCM",20,2.8,1,1,0,1,1,0,1,1
22041964,17/03/2023,Đường số 1, Phường Bình Thuận, Quận 7, TPHCM,"Đường số 1, Phường Bình Thuận, Quận 7, TPHCM",45,6,0,0,0,0,0,1,0,1
22056290,17/03/2023,Đường Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, TPHCM,"Đường Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, TPHCM",40,5,0,0,0,0,0,0,0,0
22044497,17/03/2023,Đường Nguyễn Thị Định, Phường Bình Trưng Tây, Quận 2 (TP. Thủ Đức), TPHCM,"Đường Nguyễn Thị Định, Phường Bình Trưng Tây, Quận 2 (TP. Thủ Đức), TPHCM",35,3.5,0,0,0,0,1,1,0,0
22061379,17/03/2023,Đường Lũy Bán Bích, Phường Hiệp Tân, Quận Tân Phú, TPHCM,"Đường Lũy Bán Bích, Phường Hiệp Tân, Quận Tân Phú, TPHCM",25,4,1,1,1,1,0,0,1,0
22004575,17/03/2023,Đường Nguyễn Văn Khối, Phường 8, Quận Gò Vấp, TPHCM,"Đường Nguyễn Văn Khối, Phường 8, Quận Gò Vấp, TPHCM",25,3.8,0,0,0,0,0,1,0,0
21892483,17/03/2023,Đường Trần Xuân Soạn, Phường Tân Hưng, Quận 7, TPHCM,"Đường Trần Xuân Soạn, Phường Tân Hưng, Quận 7, TPHCM",25,3.2,0,0,0,0,0,0,0,0
22017936,17/03/2023,Đường Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, TPHCM,"Đường Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, TPHCM",18,4.5,0,0,0,1,0,1,1,0
22057858,17/03/2023,Đường Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, TPHCM,"Đường Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, TPHCM",40,5,0,1,0,0,0,0,1,0
22054389,17/03/2023,Đường Bạch Đằng, Phường 2, Quận Tân Bình, TPHCM,"Đường Bạch Đằng, Phường 2, Quận Tân Bình, TPHCM",38,4.5,1,0,1,0,0,0,1,0
21545429,17/03/2023,Đường Tân Hải, Phường 13, Quận Tân Bình, TPHCM,"Đường Tân Hải, Phường 13, Quận Tân Bình, TPHCM",22,5.9,0,0,1,0,1,0,0,0
22054437,17/03/2023,Đường Nguyễn Thái Bình, Phường 4, Quận Tân Bình, TPHCM,"Đường Nguyễn Thái Bình, Phường 4, Quận Tân Bình, TPHCM",16,3,0,0,0,0,1,0,1,0
22048273,17/03/2023,Đường Lã Xuân Oai, Phường Tăng Nhơn Phú A, Quận 9 (TP. Thủ Đức), TPHCM,"Đường Lã Xuân Oai, Phường Tăng Nhơn Phú A, Quận 9 (TP. Thủ Đức), TPHCM",40,3.5,0,0,0,1,0,0,0,0
21827597,17/03/2023,Đường Chuyên Dùng, Phường Phú Mỹ, Quận 7, TPHCM,"Đường Chuyên Dùng, Phường Phú Mỹ, Quận 7, TPHCM",16,2.2,0,0,0,0,1,0,0,0
22053381,17/03/2023,Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, TPHCM,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, TPHCM",25,3.5,0,0,0,0,0,1,0,1
21548645,17/03/2023,Đường Tân Hải, Phường 13, Quận Tân Bình, TPHCM,"Đường Tân Hải, Phường 13, Quận Tân Bình, TPHCM",22,6.2,0,0,1,0,0,0,1,0
22058107,17/03/2023,Đường Dương Đình Hội, Phường Phước Long B, Quận 9 (TP. Thủ Đức), TPHCM,"Đường Dương Đình Hội, Phường Phước Long B, Quận 9 (TP. Thủ Đức), TPHCM",30,4.2,0,0,0,1,1,0,1,0
22044273,17/03/2023,Đường số 59, Phường 14, Quận Gò Vấp, TPHCM,"Đường số 59, Phường 14, Quận Gò Vấp, TPHCM",38,4.2,1,1,0,1,1,1,1,0
22053471,17/03/2023,Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, TPHCM,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, TPHCM",30,3.5,0,0,0,0,0,1,0,0
21989548,17/03/2023,Đường Lâm văn Bền, Phường Tân Quy, Quận 7, TPHCM,"Đường Lâm văn Bền, Phường Tân Quy, Quận 7, TPHCM",30,4.2,0,1,0,0,0,1,0,0
22060703,17/03/2023,Đường Lê Văn Lương, Phường Tân Quy, Quận 7, TPHCM,"Đường Lê Văn Lương, Phường Tân Quy, Quận 7, TPHCM",28,4.5,0,0,0,0,0,0,0,0
21939857,17/03/2023,Đường số 34, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), TPHCM,"Đường số 34, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), TPHCM",30,3.3,0,0,0,1,0,0,0,0
22061696,17/03/2023,Đường Nguyễn Thái Sơn, Phường 5, Quận Gò Vấp, TPHCM,"Đường Nguyễn Thái Sơn, Phường 5, Quận Gò Vấp, TPHCM",25,3.3,1,0,0,0,0,0,1,1
21481704,17/03/2023,Đường Dương Quảng Hàm, Phường 6, Quận Gò Vấp, TPHCM,"Đường Dương Quảng Hàm, Phường 6, Quận Gò Vấp, TPHCM",30,5.5,1,1,1,0,0,0,1,0
22054650,17/03/2023,Đường Lý Thường Kiệt, Phường 14, Quận 10, TPHCM,"Đường Lý Thường Kiệt, Phường 14, Quận 10, TPHCM",30,4.5,1,0,1,1,0,0,1,0
22063342,17/03/2023,Đường Nguyễn Thị Định, Phường Thạnh Mỹ Lợi, Quận 2 (TP. Thủ Đức), TPHCM,"Đường Nguyễn Thị Định, Phường Thạnh Mỹ Lợi, Quận 2 (TP. Thủ Đức), TPHCM",40,3.8,0,0,1,0,0,1,1,1
22061801,17/03/2023,Đường Đinh Tiên Hoàng, Phường Tân Định, Quận 1, TPHCM,"Đường Đinh Tiên Hoàng, Phường Tân Định, Quận 1, TPHCM",30,6.3,0,0,0,0,0,0,0,0
22008570,17/03/2023,Đường Nguyễn Thị Định, Phường Bình Trưng Tây, Quận 2 (TP. Thủ Đức), TPHCM,"Đường Nguyễn Thị Định, Phường Bình Trưng Tây, Quận 2 (TP. Thủ Đức), TPHCM",45,3.6,0,0,0,1,1,0,0,0
21634250,17/03/2023,Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, TPHCM,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, TPHCM",25,3,0,0,0,1,0,1,1,0
22050592,17/03/2023,Đường Lê Đình Thám, Phường Tân Quý, Quận Tân Phú, TPHCM,"Đường Lê Đình Thám, Phường Tân Quý, Quận Tân Phú, TPHCM",30,3.6,0,0,0,1,1,1,0,0
22050597,17/03/2023,Đường Vườn Lài, Phường Tân Thành, Quận Tân Phú, TPHCM,"Đường Vườn Lài, Phường Tân Thành, Quận Tân Phú, TPHCM",35,4.5,0,0,1,1,1,1,1,0
22050593,17/03/2023,Đường Trịnh Đình Trọng, Phường Phú Trung, Quận Tân Phú, TPHCM,"Đường Trịnh Đình Trọng, Phường Phú Trung, Quận Tân Phú, TPHCM",30,3.5,0,0,0,1,1,1,0,0
22001712,17/03/2023,Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, TPHCM,"Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, TPHCM",35,3.2,0,0,0,1,0,0,0,1
21804723,17/03/2023,Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, TPHCM,"Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, TPHCM",28,3.5,0,1,0,1,1,0,0,0
21921141,17/03/2023,Đường Lê Đức Thọ, Phường 15, Quận Gò Vấp, TPHCM,"Đường Lê Đức Thọ, Phường 15, Quận Gò Vấp, TPHCM",40,3.9,0,1,1,0,0,1,1,0
21909406,17/03/2023,Đường Phạm Văn Chiêu, Phường 8, Quận Gò Vấp, TPHCM,"Đường Phạm Văn Chiêu, Phường 8, Quận Gò Vấp, TPHCM",35,3.8,0,1,0,1,1,0,0,0
